id,form_factor,aspect_ratio,rect,narrow_factor,prd,plw,mean_h,mean_s,mean_v,kelas
1,0.5441,1.5226,1.3921,0.7751,4.2591,1.9924,176.27641826976466,0.13198039491013236,0.35884546249012805,0
2,0.5537,1.4871,1.3717,0.7901,4.2218,1.9944,182.89568854728813,0.13553471356620186,0.36197581368806975,0
4,0.565,1.5315,1.3531,0.7839,4.1794,1.9819,182.51649056518656,0.1481885513113715,0.36591303220534693,0
6,0.5884,1.4592,1.3729,0.7972,4.0955,1.9374,181.6376174472902,0.12765296592740638,0.3573801029617093,0
7,0.5704,1.6124,1.369,0.7595,4.1595,1.9499,178.147352670207,0.13541805026174308,0.3613034688905968,0
10,0.4621,1.7762,1.3352,0.7327,4.6215,2.1665,170.06934805136495,0.2148916886377424,0.38007445520569905,0
13,0.5863,1.7125,1.3358,0.7461,4.1027,1.9324,171.8334982998011,0.18407026907971033,0.3718242297831968,0
18,0.6316,1.6262,1.3111,0.7728,3.9529,1.8915,167.13437433468363,0.20440760116872225,0.3792868996738294,0
20,0.5449,1.7547,1.3305,0.7385,4.2558,2.002,168.44996641796945,0.1895256288342494,0.37960893119941563,0
22,0.5534,1.5228,1.391,0.7753,4.2232,1.9764,176.10410052602143,0.13145219358196333,0.3586145861150624,0
24,0.6133,1.4422,1.3457,0.81,4.0116,1.9188,182.47085315785523,0.11567946560818693,0.3559393091864526,0
25,0.5635,1.5318,1.3535,0.7836,4.1852,1.9843,182.3901075420494,0.14724969012833372,0.3656874669083695,0
37,0.5781,1.6164,1.3398,0.7668,4.132,1.9573,173.20516268058296,0.16666660132186087,0.3671545588026233,0
38,0.5985,1.7146,1.317,0.7509,4.0607,1.9259,169.06921496267506,0.20152142339314072,0.3790510379532605,0
40,0.5467,1.7477,1.3367,0.7383,4.249,1.9952,169.41549810218842,0.1982599023479115,0.380329238992883,0
41,0.5417,1.7564,1.3321,0.7377,4.2685,2.0065,168.67104052834668,0.18952538632950702,0.37960581400969307,0
45,0.5735,1.6146,1.3692,0.7589,4.1484,1.9442,177.32474635309205,0.13918974124668235,0.36216034307575434,0
47,0.5566,1.4909,1.372,0.7889,4.2109,1.9884,181.93932481109476,0.13878755336656703,0.36291806918655034,0
48,0.5541,1.4873,1.3708,0.7903,4.2205,1.9944,182.0078348005465,0.1385519904178251,0.362748535810216,0
50,0.5576,1.7414,1.3359,0.7398,4.2071,1.9771,169.23932304226105,0.20183867608546469,0.381654529253369,0
51,0.52,1.441,1.3932,0.7964,4.3565,2.0481,185.874771527589,0.1291660843061573,0.3608203440057299,1
52,0.7675,1.0739,1.2824,0.9615,3.5859,1.7854,187.6800993134434,0.14272396310749513,0.36252926707772826,1
54,0.2036,9.4858,1.725,0.279,6.9625,1.757,187.46057208222405,0.1316149498700446,0.36433442694792884,1
55,0.5807,1.3134,1.334,0.8525,4.1227,1.9953,191.14900393884537,0.13935173401366885,0.36790514115654327,1
56,0.6239,1.459,1.3154,0.8145,3.9774,1.9222,189.87088563670764,0.12940333018581796,0.36427561829836025,1
62,0.4899,2.132,2.3839,0.5005,4.4884,1.5292,184.20053857044851,0.15424695041065695,0.368018011084585,1
65,0.4777,1.4467,1.4276,0.7852,4.5454,2.1102,173.94053243470458,0.13932885933087003,0.3612544133874327,1
66,0.6066,1.3569,1.3638,0.8295,4.0335,1.9262,175.63488574622593,0.13650995764780904,0.36163245348139766,1
68,0.6263,1.6654,1.3252,0.7595,3.9698,1.884,185.39201911986234,0.11906715050947872,0.35927043055505853,1
69,0.5803,1.7943,1.3481,0.7255,4.1241,1.9213,183.95186150905909,0.09702242711727807,0.3526312938928052,1
72,0.7505,1.0718,1.2837,0.962,3.6264,1.8047,187.5925376971564,0.14234815848737623,0.3623678763251318,1
78,0.5807,1.3134,1.334,0.8525,4.1227,1.9953,191.14900393884537,0.13935173401366885,0.36790514115654327,1
82,0.5092,1.7587,1.3331,0.7369,4.4026,2.0683,184.0744380191774,0.10553894348463849,0.35615938862086316,1
86,0.4074,1.5654,1.443,0.7508,4.9217,2.2548,181.6449408305293,0.12682072126438532,0.362503128964909,1
87,0.5886,1.3956,1.336,0.8264,4.095,1.9714,184.72804780033943,0.14113917834017078,0.3664467640864525,1
89,0.6066,1.3569,1.3638,0.8295,4.0335,1.9262,175.63488574622593,0.13650995764780904,0.36163245348139766,1
90,0.6099,1.6935,1.3369,0.7499,4.0229,1.8968,182.49409733855285,0.113070458504225,0.3580657267930652,1
91,0.6264,1.6662,1.3257,0.7592,3.9693,1.8833,185.30624824249614,0.11877059939175921,0.3591063322171425,1
99,0.6139,1.349,1.3545,0.8348,4.0094,1.9221,182.89561376257535,0.15878664843784598,0.3692526398865133,1
100,0.4266,1.5609,1.4348,0.754,4.8102,2.2106,181.6170628542599,0.1262893932796392,0.36236332732805304,1
